team_id,overall,power,tier,week
1,6,7,4,12
2,12,10,4,12
3,8,9,4,12
4,2,2,1,12
5,11,12,4,12
6,3,5,3,12
7,4,3,2,12
8,10,11,4,12
9,9,6,4,12
10,5,4,3,12
11,1,1,1,12
12,7,8,4,12
1,5,4,4,13
2,12,10,5,13
3,9,11,5,13
4,2,1,1,13
5,11,12,5,13
6,6,7,5,13
7,3,3,3,13
8,8,9,5,13
9,7,5,4,13
10,4,6,4,13
11,1,2,2,13
12,10,8,5,13
